alias,categories,coordinates.latitude,coordinates.longitude,display_phone,distance,id,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.display_address,location.state,location.zip_code,name,phone,price,rating,review_count,transactions,url
tasty-chicken-brooklyn-3,"[{u'alias': u'chicken_wings', u'title': u'Chicken Wings'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.6089,-74.0050399,(718) 259-1111,11782.7888629,GfCPSdub7sIcKKqLzA66gQ,https://s3-media2.fl.yelpcdn.com/bphoto/VF64g542OATTITukRjs35A/o.jpg,False,1687 86th St,,,Brooklyn,US,"[1687 86th St, Brooklyn, NY 11214]",NY,11214,Tasty Chicken,17182591111.0,$$,3.5,90,"[delivery, pickup]",https://www.yelp.com/biz/tasty-chicken-brooklyn-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
banana-king-elizabeth,"[{u'alias': u'tradamerican', u'title': u'American (Traditional)'}, {u'alias': u'juicebars', u'title': u'Juice Bars & Smoothies'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.65555,-74.19905,(908) 965-0034,9216.89291408,FgMagbxGcxdk3UYAml09gQ,https://s3-media3.fl.yelpcdn.com/bphoto/vTa0lNs4Dx2GoA7sSNb8HA/o.jpg,False,545 Elizabeth Ave,,,Elizabeth,US,"[545 Elizabeth Ave, Elizabeth, NJ 07206]",NJ,7206,Banana King,19089650034.0,$$,3.5,28,[],https://www.yelp.com/biz/banana-king-elizabeth?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
jersey-mikes-subs-bayonne-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}]",40.6609794411,-74.10774662,(201) 339-1140,8838.52464217,7Co2l-XgIrJjdGSf4nIHBw,https://s3-media1.fl.yelpcdn.com/bphoto/zoT_9hU67Sou_XzvtNGvKw/o.jpg,False,901 Bayonne Crossing Way,,,Bayonne,US,"[901 Bayonne Crossing Way, Bayonne, NJ 07002]",NJ,7002,Jersey Mike's Subs,12013391140.0,$$,3.0,16,[],https://www.yelp.com/biz/jersey-mikes-subs-bayonne-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
souk-and-sandwich-new-york,"[{u'alias': u'lebanese', u'title': u'Lebanese'}, {u'alias': u'sandwiches', u'title': u'Sandwiches'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.7238561,-74.0048973,(212) 625-3982,19221.5805692,PYv7MXnCDuSPA9Yakf1Rqw,https://s3-media2.fl.yelpcdn.com/bphoto/8w-6lo0FrG9RjOBg8faZOA/o.jpg,False,117 Ave Of The America's,,,New York,US,"[117 Ave Of The America's, New York, NY 10013]",NY,10013,Souk & Sandwich,12126253982.0,$$,4.0,119,"[delivery, pickup]",https://www.yelp.com/biz/souk-and-sandwich-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
five-guys-brooklyn-10,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.5952135,-74.0002209,(718) 372-0150,11958.7830749,_yFKYdfwlHvveRl_dXVZkg,https://s3-media4.fl.yelpcdn.com/bphoto/oOMo1PbbMvBUeLChDxOzDA/o.jpg,False,1628 Shore Pkwy,,,Brooklyn,US,"[1628 Shore Pkwy, Brooklyn, NY 11214]",NY,11214,Five Guys,17183720150.0,$$,3.0,37,[],https://www.yelp.com/biz/five-guys-brooklyn-10?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chipotle-mexican-grill-brooklyn-9,"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.60836,-73.95957,(718) 339-2197,15572.1557545,L3eLMxaY5iZIxlSYgU-w_w,https://s3-media3.fl.yelpcdn.com/bphoto/_Dep6vZTw4VRpcba_CUX4g/o.jpg,False,1325 Kings Hwy,,,Brooklyn,US,"[1325 Kings Hwy, Brooklyn, NY 11229]",NY,11229,Chipotle Mexican Grill,17183392197.0,$$,3.0,38,[],https://www.yelp.com/biz/chipotle-mexican-grill-brooklyn-9?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
pollo-campero-brooklyn,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'latin', u'title': u'Latin American'}, {u'alias': u'chickenshop', u'title': u'Chicken Shop'}]",40.64764561,-74.00795996,(718) 436-2835,13217.8026253,pZam_b8ThQyxh4sUUhLSxA,https://s3-media1.fl.yelpcdn.com/bphoto/mAIYLEinL9FWAPoeTnAZvw/o.jpg,False,4518 Fifth Ave,,,Brooklyn,US,"[4518 Fifth Ave, Brooklyn, NY 11220]",NY,11220,Pollo Campero,17184362835.0,$$,3.5,23,[],https://www.yelp.com/biz/pollo-campero-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
lumpia-shack-snackbar-new-york-2,"[{u'alias': u'filipino', u'title': u'Filipino'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'newamerican', u'title': u'American (New)'}]",40.73571,-74.00044,(917) 475-1621,20518.8484201,ckb_w10XmSsW3riotGqXQA,https://s3-media3.fl.yelpcdn.com/bphoto/3oTZeyjNui7KHMSrEAuI_g/o.jpg,False,50 Greenwich Ave,,,New York,US,"[50 Greenwich Ave, New York, NY 10011]",NY,10011,Lumpia Shack Snackbar,19174751621.0,$$,4.0,174,"[delivery, pickup]",https://www.yelp.com/biz/lumpia-shack-snackbar-new-york-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
panda-express-brooklyn-2,"[{u'alias': u'chinese', u'title': u'Chinese'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.6320037842,-73.9479141235,(718) 859-0368,17131.9026341,I80-WqcToTJ6VdXoRq6DYA,https://s3-media3.fl.yelpcdn.com/bphoto/v8ZDT_ibXfWQPe9Z425o9w/o.jpg,False,2166 Nostrand Ave,,,Brooklyn,US,"[2166 Nostrand Ave, Brooklyn, NY 11210]",NY,11210,Panda Express,17188590368.0,$$,3.0,24,[],https://www.yelp.com/biz/panda-express-brooklyn-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
springbone-kitchen-new-york,"[{u'alias': u'gluten_free', u'title': u'Gluten-Free'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'coffee', u'title': u'Coffee & Tea'}]",40.72986,-73.99932,(646) 368-9192,20047.9847057,X52zxgnwA72PQqprxI_hEw,https://s3-media1.fl.yelpcdn.com/bphoto/duQsHChJsWGFJlDWW6zcyA/o.jpg,False,90 W 3rd St,,,New York,US,"[90 W 3rd St, New York, NY 10012]",NY,10012,Springbone Kitchen,16463689192.0,$$,4.0,175,"[delivery, pickup]",https://www.yelp.com/biz/springbone-kitchen-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
essen-new-york-3,"[{u'alias': u'delis', u'title': u'Delis'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",40.7034525227,-74.0120809525,(212) 943-0100,17074.7041324,SaVBP5ompofkzz4FywdYZQ,https://s3-media3.fl.yelpcdn.com/bphoto/AWWSo3h_O82eo_b8rIox5w/o.jpg,False,100 Broad St,,,New York,US,"[100 Broad St, New York, NY 10004]",NY,10004,ESSEN,12129430100.0,$$,3.0,99,"[delivery, pickup]",https://www.yelp.com/biz/essen-new-york-3?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chipotle-mexican-grill-brooklyn-18,"[{u'alias': u'mexican', u'title': u'Mexican'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.58329,-73.98681,(718) 266-0380,13046.6367018,uR-KquQVPuFD95xn1OG1tw,https://s3-media1.fl.yelpcdn.com/bphoto/dGBmlQe3axPyNYhiOOIAcQ/o.jpg,False,2940 Cropsey Ave,,,Brooklyn,US,"[2940 Cropsey Ave, Brooklyn, NY 11214]",NY,11214,Chipotle Mexican Grill,17182660380.0,$$,2.0,31,[],https://www.yelp.com/biz/chipotle-mexican-grill-brooklyn-18?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
pasta-flyer-new-york,"[{u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'pastashops', u'title': u'Pasta Shops'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.73713,-73.99678,,20818.4189395,ugj4h67GK9hcvKgEIy5Tew,https://s3-media2.fl.yelpcdn.com/bphoto/32Y0LF9Z7VwJOtQ82FnDqA/o.jpg,False,510 6th Ave,,,New York,US,"[510 6th Ave, New York, NY 10011]",NY,10011,Pasta Flyer,,$$,3.5,78,"[delivery, pickup]",https://www.yelp.com/biz/pasta-flyer-new-york?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
popeyes-louisiana-kitchen-brooklyn-17,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}]",40.6219700385,-74.0260237386,(718) 630-5575,10549.4747512,j4KB4Z8j1aIHIOz5sk75jg,https://s3-media2.fl.yelpcdn.com/bphoto/4Y9TFjxlbyxXjvkjcIBkgQ/o.jpg,False,8514 5th Ave,,,Brooklyn,US,"[8514 5th Ave, Brooklyn, NY 11209]",NY,11209,Popeyes Louisiana Kitchen,17186305575.0,$$,1.5,18,[],https://www.yelp.com/biz/popeyes-louisiana-kitchen-brooklyn-17?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
popeyes-louisiana-kitchen-rahway-2,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'chicken_wings', u'title': u'Chicken Wings'}]",40.605657,-74.262207,(732) 943-2377,10463.4224167,wYRz4QrDXh_TTNGWVJISWg,https://s3-media2.fl.yelpcdn.com/bphoto/x_-6fSQMlhDCZ-gYjN8xMg/o.jpg,False,1857 US Hwy 1,,,Rahway,US,"[1857 US Hwy 1, Rahway, NJ 07065]",NJ,7065,Popeyes Louisiana Kitchen,17329432377.0,$$,3.0,12,[],https://www.yelp.com/biz/popeyes-louisiana-kitchen-rahway-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
five-guys-brooklyn-12,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'burgers', u'title': u'Burgers'}]",40.6685832,-73.9805153,(718) 499-9380,16427.7767178,TPWX9v4VbAzcHOnjxe_i2Q,https://s3-media1.fl.yelpcdn.com/bphoto/m2sFFv4QVmO1CAePj1CW_w/o.jpg,False,284 7th Ave,,,Brooklyn,US,"[284 7th Ave, Brooklyn, NY 11215]",NY,11215,Five Guys,17184999380.0,$$,3.5,160,[delivery],https://www.yelp.com/biz/five-guys-brooklyn-12?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
burgers-by-honest-chops-new-york-4,"[{u'alias': u'halal', u'title': u'Halal'}, {u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.7296280241,-74.0010289103,(212) 677-2110,19941.8028867,O2Wf9JozX-Av2SOV6EvmNw,https://s3-media2.fl.yelpcdn.com/bphoto/Ob9Zc1Ea5vqtRwvDjbNFbw/o.jpg,False,99 Macdougal St,,,New York,US,"[99 Macdougal St, New York, NY 10012]",NY,10012,Burgers By Honest Chops,12126772110.0,$$,4.0,189,"[pickup, delivery]",https://www.yelp.com/biz/burgers-by-honest-chops-new-york-4?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
the-bear-brooklyn,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'tacos', u'title': u'Tacos'}]",40.71282,-73.96666,(718) 388-8789,20486.4515843,P5gcdU1DX9M1V4W-V9o-wg,https://s3-media2.fl.yelpcdn.com/bphoto/0BuCIg9tDpoW_UhyLogUrA/o.jpg,False,48 S 4th St,Ste 2,The Woods bar,Brooklyn,US,"[48 S 4th St, Ste 2, The Woods bar, Brooklyn, NY 11211]",NY,11211,The Bear,17183888789.0,$$,5.0,12,"[delivery, pickup]",https://www.yelp.com/biz/the-bear-brooklyn?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
five-guys-vauxhall-2,"[{u'alias': u'burgers', u'title': u'Burgers'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}]",40.7202061,-74.2887373,(908) 688-8877,19495.8395021,nEB7ytaXCmNPaD5CwEH5qA,https://s3-media1.fl.yelpcdn.com/bphoto/GjoncQznMF-L7TKs0zt1Gw/o.jpg,False,2933 Vauxhall Rd,,,Vauxhall,US,"[2933 Vauxhall Rd, Vauxhall, NJ 07088]",NJ,7088,Five Guys,19086888877.0,$$,4.0,48,[],https://www.yelp.com/biz/five-guys-vauxhall-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
kfc-brooklyn-33,"[{u'alias': u'chicken_wings', u'title': u'Chicken Wings'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'chickenshop', u'title': u'Chicken Shop'}]",40.6434,-74.012,(718) 492-2813,12681.9665945,IN-Sxgnpv_xP7zQVWYxK0g,https://s3-media2.fl.yelpcdn.com/bphoto/FNBIx9tP6JSbS4uOPq-91Q/o.jpg,False,5219-5233 5th Ave,,,Brooklyn,US,"[5219-5233 5th Ave, Brooklyn, NY 11220]",NY,11220,KFC,17184922813.0,$$,2.0,8,"[delivery, pickup]",https://www.yelp.com/biz/kfc-brooklyn-33?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
wok-to-walk-hoboken-2,"[{u'alias': u'noodles', u'title': u'Noodles'}, {u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'asianfusion', u'title': u'Asian Fusion'}]",40.7370761893,-74.0309359338,(201) 222-0203,19277.8942048,qci1IQb8P33dFtvo_VXWlA,https://s3-media2.fl.yelpcdn.com/bphoto/2ntBHwim2V1N0eb_ga-QoA/o.jpg,False,91 Washington St,,,Hoboken,US,"[91 Washington St, Hoboken, NJ 07030]",NJ,7030,Wok To Walk,12012220203.0,$$,2.5,37,"[delivery, pickup]",https://www.yelp.com/biz/wok-to-walk-hoboken-2?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
chipotle-mexican-grill-brooklyn-17,"[{u'alias': u'hotdogs', u'title': u'Fast Food'}, {u'alias': u'mexican', u'title': u'Mexican'}]",40.7164692879,-73.9601158351,(718) 384-1785,21133.4204044,ZWSFufrJhmmplm0YoFL9cw,https://s3-media2.fl.yelpcdn.com/bphoto/MLzbYqbh4wtnGsAkgwlpLQ/o.jpg,False,130 North 4th St,,,Brooklyn,US,"[130 North 4th St, Brooklyn, NY 11249]",NY,11249,Chipotle Mexican Grill,17183841785.0,$$,4.0,13,[],https://www.yelp.com/biz/chipotle-mexican-grill-brooklyn-17?adjust_creative=Uu3HbS4pg129T9EGGOQ4HQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Uu3HbS4pg129T9EGGOQ4HQ
